question-id;video-id;question;hint1;hint2;answer;answer-comm
22;20;58-летнюю китайскую чиновницу Чжун Ян после коррупционного расследования пресса прозвала «самой любвеобильной начальницей»: выяснилось, что у неё были отношения с большим количеством подчинённых. Сколько любовников ей приписывали?;Часы Судного дня на 2025 год показывают именно такое количество минут.;В названии сольного альбома Егора Крида есть это число.;58;Чиновницу Чжун Ян после коррупционного расследования пресса прозвала «самой любвеобильной начальницей». Ей приписывали отношения с 58 мужчинами. Часы Судного дня на момент формулировки вопроса показывали 58 минут.
23;20;Как известно, праздничные и выходные дни в календаре отмечают красным цветом. Сколько в 2025 году в России будет таких красных дней в календаре?;Именно столько лет составляет возраст самого старого дерева в горшке.;Популярный фильм «Семь жизней» с Уиллом Смитом длится именно столько минут без учёта титров.;118;
24;20;Сколько дней Павел Дуров провёл под арестом во Франции в 2024 году?;Размотанная валторна будет такой длины в метрах.;Именно столько комнат посетил Портье в исполнении Тима Рота в одноимённом комедийном фильме.;4;24 августа 2024 года Павел Дуров был задержан в аэропорту Ле-Бурже. После четырёх суток под арестом ему предъявили обвинения, отпустили под залог и запретили покидать территорию Франции. Длина валторны, если её размотать, составляет около 4 метров. «Четыре комнаты» — комедия с Тимом Ротом в одной из главных ролей.
25;20;Гастрономическая энциклопедия TasteAtlas опубликовала рейтинг 100 лучших кухонь мира на основе 477000 отзывов о 15500 блюд из базы проекта. Какое место в этом списке заняли блюда русской кухни?;Название одного из самых распространённых интернет-мемов — «Правило номер ...» — соответствует правильному ответу.;В европейской сетке размеров женской одежды этому числу соответствует размер XS.;34;
26;20;Мортен Харкет является рекордсменом по длительности удержания ноты. В главном хите Харкета «Summer Moved On» он удерживал одну ноту именно столько секунд. Сколько?;Легендарный советский хоккеист Владислав Третьяк выступал именно под этим номером.;В названии книги Жюля Верна о подводной лодке есть это число.;20;
27;20;Всем известно, что человек может прожить вполне себе полноценную жизнь без почки или даже без лёгкого. Но вот американец Стэн Ларкин пошёл в этом отношении дальше всех. Он смог прожить без сердца именно столько дней. Сколько?;Это число есть в названии марки популярных британских табачных изделий.;-;555;
28;20;В мире есть множество разнообразных флагов. Однако флаг государства Белиз стоит особняком: на нём изображено наибольшее количество цветов. Сколько цветов на флаге Белиза?;Трасса с этим порядковым номером соединяет Москву и Казань, а в дальнейшем протянется даже до Тюмени.;Именно столько разгневанных мужчин решали судьбу подростков в юридической драме 1957 года.;12;
29;20;Сколько раз Россия занимала на Евровидении второе место?;Именно столько групп инструментов входят в состав оркестра.;-;4;Второе место занимали Алсу в 2000 году, Дима Билан в 2006 году, «Бурановские бабушки» в 2012 году и Полина Гагарина в 2015 году. В оркестр входят струнные, деревянные духовые, медные духовые и ударные инструменты.
30;20;Самая низкая температура воздуха, непосредственно измеренная на метеостанции, была зарегистрирована на станции «Восток» в Антарктиде. Сколько градусов ниже нуля по Цельсию было в этот самый холодный день?;Если вы соберётесь набрать это число на компьютере, то на клавиатуре вам нужно будет нажать на кнопки, на которых есть также знаки звёздочка и открывающая скобка.;В 2025 году Вуди Аллену исполнилось столько лет.;89;21 июля 1983 года учёные антарктической экспедиции станции «Восток» зафиксировали самую низкую температуру в истории метеонаблюдений — −89,2 °C.
31;20;Сколько персиков изображено на картине «Девочка с персиками»?;На эту годовщину свадьбы принято дарить свечи или изделия из льна.;Именно столько музыкантов было в составе многих знаменитых музыкальных групп, например The Beatles.;4;
32;20;Сколько раз Александр Лукашенко объявлялся победителем президентских выборов в Беларуси по состоянию на 2025 год?;Именно столько королевств воевали между собой в «Игре престолов».;Именно стольких принципов придерживаются в своём кодексе бусидо великие японские воины.;7;
33;21;Сколько сантиметров составила трасса для гонки сперматозоидов в США?;Максимальное число, которое присутствует в стандартной мишени для дартса.;Спустя столько лет мушкетёры встретились вновь.;20;
34;21;Сколько римских пап с именем Иоанн управляли церковью за всю историю католичества?;Известно, что вторым по популярности именем среди пап является имя Бенедикт. Бенедиктов было 19.;Именно столько секунд в баскетболе отводится на атаку.;24;
35;21;Как известно, футбольные арбитры компенсируют остановки в игре дополнительными минутами в конце каждого тайма. В 2025 году в матче между сборными Ирана и ОАЭ в рамках квалификации на чемпионат мира к первому тайму было добавлено рекордное количество минут. Сколько?;Тимоти Шаламе в 2025 году был именно в этом возрасте.;Именно столько сантиметров составляет длина стопы для 45-го размера обуви.;29;
36;21;Сколько лет Робинзон Крузо провёл на необитаемом острове?;В арабском алфавите именно столько букв.;В названии фильма про зомби-апокалипсис именно столько дней, затем месяцев, а потом лет.;28;
37;21;Жительница Индии Далджиндер Каур является одной из самых пожилых рожениц мира. Сколько ей было лет на момент родов?;Столько минут в среднем длится перелёт из Москвы в Санкт-Петербург.;В 2025 году Стинг отметил такой по счёту день рождения.;72;
38;21;Сколько российских и советских фильмов получали «Золотую пальмовую ветвь» Каннского кинофестиваля?;Известно, что «Оскар» отечественные фильмы выигрывали в четыре раза чаще.;По версии лирической героини популярной песни сады имеют обыкновение цвести именно столько раз в календарном году.;1;
39;21;Сколько слов в русском языке не имеет корня?;Именно столько дней из жизни Ивана Денисовича описывает в своём рассказе нобелевский лауреат Александр Солженицын.;Именно столько героев в остросюжетном фильме «Погребённый заживо».;1;
40;21;Сколько миллиардов долларов Майкл Джордан заработал за карьеру и коммерческие проекты к 2025 году?;Именно столько цветов на флаге ОАЭ.;В психологии традиционно выделяют столько основных типов темперамента.;4;
41;21;Сколько миллионов долларов собрала диснеевская «Белоснежка» 2025 года в первый уик-энд мирового проката?;Фотоподсказка. Именно столько этажей в «Лахта-центре».;-;87;
42;21;108-летняя японка Шицуи Хакоиси была признана старейшим работающим парикмахером в мире. Сколько лет она проработала по профессии?;Именно столько минут длится один полный оборот МКС вокруг Земли.;Минимальная длина футбольного поля для официальных соревнований составляет столько метров.;90;Шицуи Хакоиси получила лицензию парикмахера в 1935 году, а через три года вместе с мужем открыла салон. К моменту рекорда её профессиональный стаж составлял около 90 лет.
43;22;Евгений Татаринов, студент Камчатского государственного университета, получил одну из крупнейших студенческих стипендий в России. Сколько тысяч рублей составляла эта стипендия?;Именно такой юбилей отмечало в 2025 году Московское метро.;Если вам посчастливится прожить в браке со своей половиной столько лет, то вы совершенно точно отметите гранитную свадьбу.;90;
44;22;По подсчётам, диснеевская принцесса Мулан по числу экранных убийств превосходит многих злодеев слэшеров. Сколько врагов ей приписывают?;В этот год вышла песня группы Coolio «Gangsta's Paradise».;В этот же год вышли культовые картины: «Схватка», «Храброе сердце» и «Ширли-Мырли».;1995;
45;22;Сколько метров подо льдом проплыла фридайвер Екатерина Некрасова на Байкале, поставив мировой рекорд?;Столько минут идёт фильм «Джокер».;Единая медицинская справочная служба имеет именно такой короткий телефонный номер.;122;
46;22;Сколько серий в сериале «Друзья»?;Спортсменка из Словении Ника Превц установила мировой рекорд в прыжках на лыжах с трамплина, прыгнув на такое же количество метров.;На момент съёмки выпуска в 2025 году примерно столько долларов можно было купить за 18 845 рублей.;236;
47;22;Сколько девушек появляется в клипе Валерия Меладзе «Девушки из высшего общества»?;Крестьянское сливочное масло имеет именно такой процент жирности.;В этом году такой по счёту день рождения отмечают и Микки Рурк, и Анатолий Вассерман.;72;
48;22;Сколько звёзд изображено на картине «Звёздная ночь» Ван Гога?;Большинство современных футбольных мячей состоят из двадцати белых шестиугольников и стольких пятиугольников чёрного цвета.;В названии волшебной сказки Самуила Маршака есть это число.;12;
49;22;Сколько букв в самом длинном названии географического места на планете?;"В этом году мир услышал Nirvana ""Smells Like Teen Spirit"".";Бензин с таким октановым числом считается одним из самых ходовых в России.;92;Тауматавакатангихангакоауауотаматеатурипукапикимаунгахоронукупокайвенуакитанатаху — холм в Новой Зеландии. В английской записи названия насчитывается 92 буквы, в то время как официальный новозеландский вариант на маори содержит 85 букв.
50;22;В каком году последний раз все люди находились на Земле, а не в космосе?;PlayStation 2 вышла в том же году.;Это число воспела в своём творчестве группа «Мумий Тролль».;2000;С 2 ноября 2000 года на Международной космической станции постоянно находятся люди, поэтому с тех пор человечество ни разу не было целиком на поверхности Земли.
51;22;67-летний Муса Хасанья — глава одной из самых больших семей в Уганде. Самому старшему наследнику Хасаньи уже больше 50 лет, а самому младшему — всего 6. Сколько всего детей у Мусы Хасаньи?;Известно, что внуков у Хасаньи — 568.;-;102;Иметь такую внушительную семью Хасанья смог благодаря законам Уганды, которые не запрещают многожёнство. Муса живёт с двенадцатью женщинами. С недавних пор Хасанья приказал своим жёнам начать принимать противозачаточные средства.
52;22;Сколько конфет обычно находится в жёлтой пачке M&M’s?;-;-;20;
53;23;Сколько лет держался рекорд Уэйна Гретцки до того, как его побил Овечкин?;Крупнейший в мире российский транспортный вертолёт имеет в своём названии это число.;В игровой колоде столько карт чёрной масти.;26;Рекорд Уэйна Гретцки по голам в регулярных чемпионатах НХЛ (894 шайбы) держался 26 лет — с марта 1999 года, когда канадский нападающий забил свой последний гол, до апреля 2025 года, когда его превзошёл Александр Овечкин.
54;23;Сколько видов животных представлено в Московском зоопарке на 2025 год?;Год рождения Марко Поло.;-;1254;
55;23;Сколько килограммов мяса северного оленя предлагали за билеты на полуфинал Лиги Европы?;Сколько российских и советских писателей становились обладателями Нобелевской премии по литературе.;Сколько фильмов вышло в кинофраншизе «Индиана Джонс».;5;
56;23;Сколько человек уместилось в салоне «Запорожца» на рекордном фестивале ретроавтомобилей?;В Северной Корее, Таджикистане и Восточном Тиморе в этом возрасте наступает совершеннолетие.;-;17;
57;23;Сколько букв в самом длинном названии населённого пункта в России?;Столько минут длится финальный бой в фильме «Мстители: Финал», а именно кульминационная битва с Таносом.;-;23;Населённый пункт — село Верхненовокутлумбетьево в Оренбургской области.
58;23;В скольких странах развод запрещён на законодательном уровне?;Мячик для пинг-понга весит столько граммов.;-;2;
59;23;Сколько тысяч деталей LEGO понадобилось для создания полноразмерного автомобиля?;-;-;400;
60;23;Сколько стоит часовой сеанс психолога для кастрированных котов?;Концепция Малкольма Гладуэлла гласит, что нужно именно столько часов, чтобы стать мастером своего дела.;-;10000;
61;23;Сколько лет длится миллиард секунд?;В НХЛ участвует такое количество хоккейных команд.;-;32;
62;23;За сколько дней британский велосипедист Марк Бомонт объехал земной шар, установив рекорд?;Атомный номер золота в периодической таблице — именно такой.;-;79;
63;23;Сколько кругосветных путешествий совершил Фёдор Конюхов?;Вкусовые рецепторы во рту позволяют ощущать именно столько основных вкусов.;-;5;
64;23;Сколько миллионов долларов Илон Маск предлагал матерям своих детей за соглашение о конфиденциальности до совершеннолетия ребёнка?;-;-;15;
65;23;Сколько человек изображено на картине Карла Брюллова «Последний день Помпеи»?;Кровь совершает полный оборот в организме за столько секунд.;У человека именно столько пар хромосом.;23;
66;23;Сколько миллионов рублей стоит самый дорогой билет на 11-дневный нудистский круиз по Карибам, известный как «Большая голая лодка»?;-;-;3;
67;24;Сколько букв содержит таблица Сивцева, используемая для проверки остроты зрения?;В этом году произошла высадка на Луну.;;69;
68;24;Сколько миллионов долларов получил Вин Дизель за озвучивание фразы «Я есть Грут»?;-;-;54;
69;24;Сколько человек были исключены за нарушения во время ЕГЭ-2025?;-;-;649;
70;26;Сколько в русском языке слов, начинающихся на «Й»?;В 2025 году Биллу Мюррею исполнилось столько лет.;;74;
71;26;Согласно мировому рекорду 2017 года, сколько раз подряд Трэвис Скотт исполнил свою песню «Goosebumps»?;По данным за 2025 год, россияне в среднем ежемесячно тратили примерно столько миллиардов рублей на антидепрессанты.;В этом возрасте любой россиянин имеет право подать заявление на смену имени, фамилии или отчества.;14;
72;26;Согласно мировому рекорду, сколько часов Линда Федотова простояла на гвоздях?;Майкл Джексон имел в своём активе такое количество наград ««Грэмми»».;В октябре 2025 года t.A.T.u. дали совместный концерт в Москве после перерыва примерно в столько лет.;15;
73;26;Согласно антирекорду, сколько раз Арнольд Зоммерфельд номинировался на получение Нобелевской премии?;Известно, что вторым «неудачником» считается Зигмунд Фрейд: он номинировался на Нобелевскую премию целых 32 раза.;В году, соответствующем правильному ответу, вышла первая часть знаменитой комедийной кинофраншизы «Полицейская академия».;84;
74;26;Сколько всего правил было в «Бойцовском клубе»?;По состоянию на 2025 год у Леди Гаги было именно столько студийных альбомов.;Для многих любителей хоккея это число напрямую ассоциируется с Александром Овечкиным.;8;
75;26;Какова глубина станции метро «Парк Победы» в метрах?;В названии самой популярной в России книжной антиутопии есть это число.;Сколько граммов в батончике Bounty из двух кусочков.;84;
76;26;Сколько золотых зубов было у Джека Воробья в фильмах «Пираты Карибского моря»?;Именно столько раз старик встречался с золотой рыбкой в сказке Пушкина.;По планам, актуальным в 2025 году, следующая часть «Пиратов Карибского моря» должна была стать именно такой по счёту.;6;
77;27;Николя Саркози приговорили к пяти годам лишения свободы за взятки. Сколько дней он отсидел на самом деле?;Экс-президента Египта Мухаммеда Мурси и экс-президента Аргентины Рейнальдо Биньоне посадили на столько лет.;В ноябре Верховный суд штата Джорджия закрыл последнее уголовное дело против президента США Дональда Трампа, связанное с попыткой якобы вмешаться в выборы две тысячи такого года.;20;
78;27;Примерно в 9:30 утра, через полчаса после открытия музея, преступники проникли в Лувр и похитили две витрины с королевскими ценностями на много миллионов долларов. Сколько предметов они унесли?;В сериале «Игра престолов» столько сезонов.;Учащуюся такого класса средней общеобразовательной школы воспел в своём творчестве Виктор Цой.;8;
79;27;Матч в Танзании пришлось остановить из-за налёта пчёл. Сколько минут эта пауза добавила к основному времени?;В названии популярной мировой индастриал-рок-группы есть это число.;В названии знаменитого российского фильма Фёдора Бондарчука о советских солдатах есть это число.;9;
80;27;77-летний мужчина из Франции сорвался в 40-метровый овраг. Сколько дней он выживал там за счёт купленных продуктов и вина?;Популярная актриса Мерил Стрип имеет в своём активе такое количество ««Оскаров»».;В живописи существует такое количество первичных цветов, из которых можно получить все остальные.;3;
81;27;Сколько солнечных затмений произошло в 2025 году?;Именно столько человек входит в состав стандартной команды по керлингу.;По состоянию на 2025 год в основной кинофраншизе «Матрица» было именно столько фильмов.;4;
82;27;В стремлении быстро и много заработать житель Кубани украл с работы более 1000 лотерейных билетов. Сколько тысяч рублей стоили похищенные билеты?;В названии дебютного и самого популярного альбома группы t.A.T.u. есть это число.;По шкале IQ результаты свыше этого числа считаются проявлением гениальности.;200;
83;27;Согласно брачному контракту Николь Кидман и Кита Урбана, сколько тысяч долларов Николь должна была бы выплатить мужу за каждый год трезвости?;По данным проката на момент выпуска в 2025 году, «Формула-1» с Брэдом Питтом собрала около стольких миллионов долларов.;Криштиану Роналду зарабатывает именно столько рублей в секунду.;600;
84;27;Сколько секунд понадобилось Габриэль Уолл, чтобы пробежать 100 м босыми ногами по деталям LEGO?;Самое известное произведение композитора Никколо Паганини — «Каприз № ...», и этот номер соответствует правильному ответу.;У человека, как правило, такое количество рёбер, если вы не Мэрилин Мэнсон или Артемий Лебедев.;24;
85;27;Всего известно 88 созвёздий. А сколько новых созвёздий в 2025 году открыл Марк Томпсон?;В НБА игрок удаляется с площадки за такое количество персональных фолов.;В 2014 году мир увидел именно такую модель iPhone.;6;
86;27;Сколько будет стоить андроид, который сможет вынашивать ребёнка от «зачатия» до родов, в тысячах долларов?;Легендарный французский футболист Тьерри Анри вошёл в историю под этим номером.;Именно столько дней в среднем длится инкубационный период коронавирусной инфекции.;14;
87;27;Сколько стоит часовой сеанс чесания спины в объявлении на «Авито»?;В названии одного из самых известных романов Пауло Коэльо об одинокой бразильянке, ищущей смысл жизни через работу в борделе, есть это число.;Примерно столько метров составляет глубина Марианской впадины.;11000;
88;27;На сколько градусов наклонялся над сценой король поп-музыки Майкл Джексон?;20 апреля 2025 года Василий Вакуленко, он же Баста, он же Нагано, он же Нинтендо и так далее, отметил такой по счёту день рождения.;Один из самых известных пистолетов Colt популярен во многом благодаря такому калибру.;45;
89;28;Сколько бабушек на 2026 год работает в штате нью-йоркского ресторана, где поварами работают только бабушки?;В названии одной из серий советского фильма про приключения Шерлока Холмса и доктора Ватсона есть это число.;В игре «Морской бой» корабли занимают ровно столько клеток на игровом поле.;20;
90;28;В Британии существует скульптура из конфискованных полицией ножей. Арт-объект создан для привлечения внимания к использованию холодного оружия. Сколько тысяч конфискованных ножей ушло на создание скульптуры?;В последний раз деньги такого номинала были в России в 1995 году.;В названии крупнейшего распространителя лотерей в России есть это число.;100;
91;28;Сколько рублей в секунду, по расчётам на 2026 год, зарабатывает Криштиану Роналду?;Известно, что в день его зарплата составляет чуть больше 50 млн рублей.;Так называемые «новые русские» в анекдотах обычно передвигались на автомобиле, в названии которого есть это число.;600;
92;28;Сколько долларов стоит пятиминутный сеанс объятий в Китае?;В короне Статуи Свободы именно столько лучей.;В названии одного из самых популярных газированных напитков есть это число.;7;
93;28;В рейтинге самых прибыльных вымышленных персонажей Forbes за 2025 год Винни-Пух занял второе место. Сколько миллиардов долларов ему приписали?;Микки-Маус находится на первом месте и зарабатывает чуть меньше 10 миллиардов.;В культовом приключенческом сериале Lost именно столько сезонов.;6;
94;28;Сколько баллов даёт снитч в квиддиче из «Гарри Поттера»?;В первой игре Гриффиндора против Слизерина общий счёт был 170:60, причём до последней минуты Гриффиндор проигрывал.;Примерно на таком расстоянии в километрах от Москвы находится Переславль-Залесский.;150;
95;28;Сколько лет длилось самое продолжительное известное ношение брекетов у пациента?;Трек Бруно Марса «Uptown Funk» по версии журнала Billboard стал самым популярным в мире ровно столько лет назад по состоянию на 2025 год.;Чтобы сделать страйк в боулинге, необходимо сбить именно столько кеглей.;10;
96;28;Сколько лет было Альберту Эйнштейну, когда в 1905 году он опубликовал работу по специальной теории относительности?;В названии самого большого в мире вертолёта есть это число.;Одному из лучших футболистов мира Килиану Мбаппе в 2024 году исполнилось столько лет.;26;
97;28;Сколько основных цветов радужной оболочки глаза обычно выделяют без учёта оттенков?;Атомный номер кислорода в периодической таблице — именно такой.;Оказывается, у Дэнни Оушена были не только друзья, но и подруги, именно столько.;8;Синий, голубой, серый, зелёный, буро-жёлто-зелёный, жёлтый, карий, чёрный.
98;28;В последнее время набирают популярность туры в Северную Корею. Но если не повезёт с погодой, можно провести время перед телевизором. Сколько телеканалов можно посмотреть в Северной Корее?;Именно столько монет Буратино закопал на Поле чудес, минус 1.;Именно столько персиков на картине Серова «Девочка с персиками».;4;В список входят Корейское центральное телевидение, спортивный канал, Mansudae TV и образовательный Ryongnamsan TV. Доступность отдельных каналов может зависеть от региона и периода.
99;28;Сколько длился самый долгий зафиксированный полёт курицы?;Экватор пересекает именно такое количество стран.;Россию по периметру омывает столько морей.;13;Курица фермера Жан-Пьера с 5-метровой.
100;29;Программист Джеймс Хауэлс в 2013 году случайно выбросил диск с биткойн-кошельком. Двенадцать лет он искал диск на свалке, но сдался. Сколько биткойнов он потерял?;По оценкам 2026 года, стоимость потерянного биткоин-кошелька приближалась к 1 млрд долларов.;Расстояние между Москвой и Чикаго по воздуху составляет столько км.;8000;В 2009 году Хауэлс намайнил столько биткоинов на своём старом компьютере. В 2013 году он случайно выбросил диск, а когда вспомнил о нём, тот уже был на свалке.
101;29;Проблема жилья становится одной из самых животрепещущих среди россиян. Но если вы неприхотливы, вас может устроить и кладовка. Сколько миллионов стоит самая дорогая кладовка площадью 20 кв. м в элитном жилом комплексе рядом с метро?;В России именно в этом возрасте уже можно получить водительские права на управление мотоциклом и вступить в брак с разрешения органов опеки.;В названии популярного московского музыкального клуба есть это число.;16;
102;29;В автогонках «Формулы-1» могут принимать участие как мужчины, так и женщины. Сколько женщин принимало участие в автогонках?;В знаменитой комедийной кинофраншизе «Очень страшное кино» на сегодняшний день вышло столько фильмов.;Именно на стольких башнях Московского Кремля есть звёзды.;5;Всего участвовали пять женщин, причём квалификацию прошли только две.
103;29;В боулинге номер шара обозначает его вес в фунтах. Так сколько фунтов весит самый тяжёлый шар для боулинга?;В плей-офф НБА проходит столько команд.;В номерах банковских карт именно столько цифр.;16;
104;29;Американка Кимберли Винтер попала в книгу рекордов Гиннесса, рыгнув громче всех. Сколько децибел зафиксировано в самой громкой женской отрыжке?;По статистике сезона 2025/26, команды НБА в среднем совершают примерно столько бросков с игры за матч.;В 2025 году исполнилось столько лет со дня декрета о создании Рабоче-крестьянской Красной армии.;107;В 2025 году Кимберли Винтер установила рекорд женской отрыжки в 107 дБ, а в марте 2026 года улучшила собственный результат до 108 дБ.
105;29;Сколько лет было кенийцу Кимани Маруге — самому старому первокласснику?;В году, соответствующем правильному ответу, была основана культовая группа Modern Talking.;В этом же году компания Apple выпустила первый персональный компьютер Macintosh.;84;Кимани родился в селе, где не имел возможности посещать школу. В 2003 году кенийское правительство ввело бесплатное начальное образование, чем Кимани и воспользовался в возрасте 84 лет.
106;29;Самый короткий алфавит в Европе — у итальянцев. Сколько в нём букв?;В 2025 году исполнилось столько лет с момента, когда «Властелин колец: Возвращение короля» получил 11 ««Оскаров»».;Чтобы гарантированно выиграть в блэкджеке, необходимо набрать именно столько очков.;21;
